file_name,rank_group,count
上班就开始发疯时间排序.xlsx,TimeRank,169
上班就开始发疯热度排序.xlsx,HotRank,169
咪咕体育时间排序.xlsx,TimeRank,950
平原跑马时间排序.xlsx,TimeRank,200
平原跑马热度排序.xlsx,HotRank,200
新华社时间排序.xlsx,TimeRank,2898
新华社热度排序.xlsx,HotRank,2898
新浪新闻时间排序.xlsx,TimeRank,547
4K体育时间排序.xlsx,TimeRank,300
4K体育热度排序.xlsx,HotRank,300
kekeiiiiiii时间排序.xlsx,TimeRank,151
kekeiiiiiii热度排序.xlsx,HotRank,151
吃瓜比赛冠军时间排序.xlsx,TimeRank,389
吃瓜比赛冠军热度排序.xlsx,HotRank,389
咪咕体育热度排序.xlsx,HotRank,950
新浪新闻热度排序.xlsx,HotRank,547
__TOTAL_USED__,all,11208
__EXPECTED_IN_PAPER__,all,5604
